County,current,Predicted,change
ca.kings,14.714902,9.871922,4.8429804
ca.ventura,57.90583,144.55606,-86.65023
ca.los angeles,28.150316,156.84335,-128.69304
ca.riverside,16.189173,4.4413705,11.747803
ca.modoc,1.2920353,2.159292,-0.86725664
ca.monterey,22.561161,27.349306,-4.788145
tx.nueces,11.52831,13.211324,-1.6830139
ca.orange,11.538681,14.996905,-3.4582243
ca.tulare,11.80441,13.159156,-1.3547459
ms.tishomingo,26.125,30.333334,-4.208334
la.iberia,19.289099,23.625593,-4.3364944
tx.houston,23.32,30.8,-7.4799995
la.rapides,5.817647,7.194958,-1.3773112
la.union,28.407408,32.814816,-4.4074078
la.concordia,17.63077,25.569231,-7.9384613
la.caldwell,11.230769,16.784615,-5.5538454
ga.franklin,6.95,7.835,-0.8850002
ca.alameda,7.710642,9.217678,-1.5070362
il.perry,20.208956,32.865673,-12.656717
ga.chatham,6.8699236,7.1795173,-0.30959368
ga.floyd,10.265905,11.65416,-1.3882542
ga.upson,14.469565,15.982609,-1.5130434
ga.sumter,18.513159,18.31579,0.19736862
ga.meriwether,7.880734,8.220183,-0.3394494
ga.coweta,26.62288,30.20339,-3.5805092
pr.metro,0,0,0
wi.brown,19.688576,23.007042,-3.3184662
wi.milwaukee,16.475754,21.742054,-5.2663
pr.bayamon,7.074689,7.7479253,-0.67323637
la.lafourche,25.995073,30.945812,-4.950739
la.east feliciana,4.480237,5.0671935,-0.5869565
la.jefferson,13.1867075,16.985794,-3.7990866
wi.fond du lac,46.528038,61.01402,-14.485981
ri.providence,14.123777,19.34994,-5.226162
wi.monroe,39.81333,56.066666,-16.253334
wi.lincoln,52.23256,74.860466,-22.627907
ca.shasta,8.355177,12.321101,-3.9659243
ca.santa barbara,12.151803,13.390892,-1.239089
ga.stewart,25.52,28.52,-3
ca.san bernardino,18.517374,24.827862,-6.3104877
ca.san diego,11.799905,15.65534,-3.8554354
ca.san francisco,3.3737085,3.9751244,-0.6014159
ca.sonoma,6.757122,7.50845,-0.751328
ca.solano,16.739653,20.627502,-3.8878498
ca.yolo,37.01282,51.910255,-14.897434
ca.san joaquin,24.075,27.085155,-3.0101547
ca.lake,18.67742,18.887096,-0.20967674
ca.madera,16.164503,18.166666,-2.002163
ca.santa clara,9.687418,12.669379,-2.9819613
ca.san mateo,6.764423,7.8930287,-1.1286058
ca.contra costa,14.293528,17.237833,-2.9443054
ca.sacramento,13.092395,17.327324,-4.234929
ca.nevada,10.920455,20.977272,-10.056817
ca.sutter,49.717392,92.315216,-42.597824
ga.pickens,25.26923,29.846153,-4.5769234
ga.clarke,14.299173,15.32562,-1.0264463
ga.cobb,22.209974,24.681103,-2.4711285
ri.washington,13.973333,18.822222,-4.8488884
wi.dane,14.710062,19.68288,-4.9728184
wi.ozaukee,18.521473,26.16871,-7.647238
wi.green lake,61.84,76.32,-14.48
ar.benton,24.25176,29.809858,-5.558098
wi.polk,31.180723,52.55422,-21.373495
wi.st. croix,52.37,76.38,-24.009998
wi.sheboygan,27.862162,37.2973,-9.435137
wi.vernon,26.7,37.16,-10.459999
wi.winnebago,19.556532,23.123116,-3.5665836
dc.district of columbia,5.5989776,6.6584573,-1.0594797
fl.pasco,11.797222,14.486806,-2.6895838
fl.palm beach,14.212698,16.747646,-2.5349483
fl.osceola,20.880642,24.907722,-4.0270805
ma.bristol,16.024755,22.40456,-6.3798046
ma.norfolk,10.394456,13.32516,-2.930704
fl.clay,21.322115,24.58173,-3.259615
fl.marion,15.695321,17.56148,-1.8661585
ct.tolland,0,0,0
fl.martin,12.025089,13.071685,-1.0465956
ma.suffolk,6.3968515,7.67946,-1.2826085
ma.essex,29.167795,38.64885,-9.481054
ma.hampden,11.057529,15.594473,-4.5369434
ky.adair,15.621622,20.45946,-4.837837
ia.decatur,14.52,19.72,-5.199999
ks.anderson,10.658537,14.414634,-3.7560968
ks.kearny,17.48,28.92,-11.440001
ks.ottawa,7.5,10.619047,-3.1190472
ma.barnstable,8.839244,13.425532,-4.5862885
ma.middlesex,13.437349,17.97253,-4.535181
ar.sebastian,7.455238,8.768572,-1.313334
ar.white,6.7173915,9.27668,-2.5592885
ar.yell,24.526316,29.131578,-4.6052628
ar.clark,40,48.88,-8.880001
ar.carroll,35.82979,40.51064,-4.680851
ar.chicot,32.175,37.625,-5.450001
ar.bradley,18.285715,29.428572,-11.142857
ar.randolph,23.34,27.08,-3.7399998
ar.dallas,14.68,22.32,-7.6399994
ar.crittenden,16.612904,19.801844,-3.18894
ar.ouachita,10.05,15.89,-5.84
ar.boone,11.948276,15.160919,-3.2126436
ar.stone,22.92,22.08,0.84000015
ar.clay,43.4,58,-14.599998
ar.cleburne,34.16,42.68,-8.52
ar.conway,24.542856,36.6,-12.057142
ar.pulaski,4.5261035,5.264594,-0.7384906
ar.garland,6.852941,8.436533,-1.5835919
ar.hot spring,30.99,36.45,-5.460001
ar.jefferson,11.158634,12.216867,-1.0582333
ar.washington,16.119665,18.505566,-2.3859005
wi.outagamie,30.39265,35.52998,-5.137329
ar.polk,15.184615,24.307692,-9.123076
ar.logan,26.95122,35.682926,-8.731707
ar.cross,41.16,47.84,-6.6800003
az.pima,0,0,0
ar.arkansas,14.324325,16.27027,-1.9459448
ky.casey,31.5,46.625,-15.125
ky.estill,21.24,24.64,-3.3999996
ky.floyd,6.540179,10.669642,-4.1294637
ky.jefferson,8.978666,11.530256,-2.55159
ky.oldham,16.053476,23.005348,-6.951872
ma.worcester,13.035455,18.150791,-5.1153364
me.aroostook,0.9296875,1.8398438,-0.91015625
me.kennebec,1.4645162,2.304516,-0.8399999
me.lincoln,2.4415584,4.051948,-1.6103897
mi.gladwin,40.36,73.36,-33
mi.luce,38.48,55.4,-16.920002
mi.alger,35,50.090908,-15.090908
mi.livingston,38.480225,63.909603,-25.429379
mi.hillsdale,31.938461,56.8,-24.861538
mi.oakland,12.065389,17.793686,-5.728297
mi.berrien,15.810547,25.605469,-9.794922
mi.isabella,24.516949,37.83898,-13.322033
mi.mason,15.530612,23.714285,-8.183673
mi.van buren,41.285713,67,-25.714287
mi.sanilac,18.261538,39.03077,-20.769232
mi.wayne,12.195377,17.062777,-4.867399
mn.freeborn,11,17.26415,-6.2641506
mn.goodhue,24.423077,42.08654,-17.663464
mn.martin,24.263159,32.035088,-7.771929
mn.brown,17.254902,32.480392,-15.225491
mo.boone,9.49018,12.368249,-2.878069
nd.morton,106.78049,135.17073,-28.390244
nd.grant,5.4666667,7.366667,-1.9000001
in.madison,16.868158,24.708956,-7.8407974
in.st. joseph,25.705301,34.799015,-9.093714
nv.clark,19.472654,24.987623,-5.514969
pa.philadelphia,9.070076,12.356615,-3.286539
pa.montour,1.9588414,6.565549,-4.6067076
ga.cherokee,77.40506,91.23418,-13.829117
ga.cook,8.291667,10.275,-1.9833326
mt.hill,29.714285,38.2449,-8.530615
sc.charleston,9.7056675,10.552102,-0.8464346
ga.dekalb,9.884123,11.02977,-1.145647
va.page,28.2,29.88,-1.6799984
oh.portage,17.86755,27.850994,-9.983444
tx.travis,10.556573,11.930333,-1.3737602
tx.tarrant,16.82833,21.381521,-4.553192
wa.lewis,12.496,16.4,-3.9039993
in.hamilton,27.98752,43.876755,-15.889235
wi.waukesha,24.416859,35.485058,-11.068199
wi.marathon,26.434092,35.986362,-9.552271
wi.oneida,15.127907,19.75,-4.622093
oh.montgomery,7.9540195,11.554367,-3.6003475
wi.portage,56.648937,71.11702,-14.468082
wi.wood,8.318255,12.303716,-3.9854603
wi.walworth,59.671642,83.231346,-23.559704
wi.washington,79.5461,109.73759,-30.19149
wi.kenosha,22.847195,31.516441,-8.669247
wi.manitowoc,25.970339,33.033897,-7.0635586
in.shelby,82.45,122.025,-39.575005
tx.lubbock,22.260761,29.279476,-7.018715
in.wabash,121.5,219.83333,-98.33333
in.lake,12.5457945,18.145046,-5.5992517
in.perry,39.48,55.68,-16.2
oh.trumbull,11.91342,21.443,-9.529581
or.hood river,20.88,31.8,-10.92
il.kankakee,20.619658,33.28846,-12.668802
or.grant,6.2,12.76,-6.5600004
ny.dutchess,9.318575,12.794816,-3.476241
ny.erie,9.263251,15.443589,-6.180338
ny.monroe,9.742557,17.120476,-7.377919
ny.nassau,14.777826,18.269783,-3.4919567
